x_c y_c z_c m m_abs mu_pr mu_abs sigma_pr post_stdev post_res
-500000.000000 247440.580685 2144.113921 -421.4463 1015.8497 -410.2959 1027.0000 5.0000 3.5021 0.5094
-500000.000000 247440.580685 2917.926957 -546.2997 1013.3448 -532.6445 1027.0000 5.0000 3.5026 0.5093
-500000.000000 247440.580685 3810.774234 -762.8207 1007.6675 -743.4882 1027.0000 5.0000 3.5034 0.5091
-500000.000000 247440.580685 4822.655752 371.9145 2910.4442 361.4704 2900.0000 20.0000 12.6838 0.5978
-500000.000000 247440.580685 5953.571511 221.3741 2906.9911 214.3830 2900.0000 50.0000 25.2928 0.7441
-500000.000000 247440.580685 7203.521511 117.2422 2865.2292 152.0130 2900.0000 100.0000 39.8304 0.8414
-500000.000000 247440.580685 8572.505752 41.6364 2845.6875 95.9489 2900.0000 122.5445 45.6080 0.8615
-500000.000000 247440.580685 10060.524234 215.4968 3112.1156 282.9501 3179.5689 152.9782 52.2826 0.8832
-500000.000000 247440.580685 11667.576957 203.5549 3158.9170 265.8928 3221.2549 161.7166 54.8233 0.8851
-500000.000000 247440.580685 13393.663921 141.6031 3145.7951 263.1813 3267.3733 242.1960 68.3382 0.9204
-500000.000000 247440.580685 15238.785126 130.5683 3171.9641 258.6042 3300.0000 255.1431 70.3063 0.9241
-500000.000000 247440.580685 17202.940572 96.9597 3164.6184 232.3413 3300.0000 266.8188 72.1018 0.9270
-500000.000000 247440.580685 19286.130259 65.5353 3157.7334 207.8019 3300.0000 278.1270 73.6214 0.9299
-500000.000000 247440.580685 21488.354186 43.3115 3148.6767 194.6347 3300.0000 289.8722 75.0759 0.9329
-500000.000000 247440.580685 23809.612355 20.7175 3134.0192 186.6983 3300.0000 301.8648 76.8694 0.9352
-500000.000000 271006.350274 60.562355 -17.3571 1026.0964 -16.4535 1027.0000 5.0000 3.5081 0.5077
-500000.000000 271006.350274 239.204186 -122.7904 1023.1741 -118.9645 1027.0000 5.0000 3.5055 0.5085
-500000.000000 271006.350274 536.880259 -167.0386 1021.7726 -161.8113 1027.0000 5.0000 3.5044 0.5088
