X,Y,Z,formation,formationID
386313.79269,4796658.80985,4947.91122,base_AU,7
387276.18432,4796343.60007,4647.7063,base_AU,7
388237.7091,4796028.22217,4898.72681,base_AU,7
389199.86744,4795713.81605,4743.65216,base_AU,7
390161.94028,4795398.14484,4423.56181,base_AU,7
391123.88646,4795083.43103,4627.33796,base_AU,7
392085.72663,4794768.56339,4451.5251,base_AU,7
393047.46078,4794453.54191,4503.32345,base_AU,7
394009.0889,4794138.36661,4354.55906,base_AU,7
394971.37122,4793823.05089,4661.18134,base_AU,7
395932.78721,4793507.56783,4590.85102,base_AU,7
396894.83805,4793193.05535,4449.87497,base_AU,7
397856.04206,4792877.26454,4299.0208,base_AU,7
398817.88116,4792562.44409,4584.5502,base_AU,7
399779.61444,4792247.4696,4641.65175,base_AU,7
400741.24191,4791932.34106,4319.90658,base_AU,7
401701.98525,4791618.15719,4143.23019,base_AU,7
402663.40125,4791302.72071,4047.35414,base_AU,7
403625.45326,4790988.25376,3936.60061,base_AU,7
404586.65768,4790672.50911,4140.8438,base_AU,7
405547.73859,4790357.72169,4195.8675,base_AU,7
406508.71398,4790042.78027,4339.3081,base_AU,7
407470.32622,4789728.8079,4396.07837,base_AU,7
408431.09065,4789413.55834,4322.3895,base_AU,7
409392.50914,4789098.16635,4547.21106,base_AU,7
410353.04565,4788783.71992,4462.00903,base_AU,7
411314.23647,4788469.13084,4264.33788,base_AU,7
412275.32197,4788154.38753,4406.95237,base_AU,7
413236.30215,4787839.48998,4647.83613,base_AU,7
414197.177,4787524.43822,4838.32683,base_AU,7
415157.93064,4787210.3435,5160.95691,base_AU,7
416118.59498,4786894.98331,4915.56077,base_AU,7
417079.13844,4786580.58017,4730.35209,base_AU,7
418040.33612,4786266.0333,4604.8586,base_AU,7
419000.6695,4785951.32163,4688.02261,base_AU,7
419961.65699,4785636.466,4605.01813,base_AU,7
420921.78025,4785321.44583,4397.69756,base_AU,7
421882.5429,4785007.39272,4343.85146,base_AU,7
422843.2152,4784692.07391,4569.55985,base_AU,7
423803.0091,4784377.70221,4793.88846,base_AU,7
424763.45721,4784063.18596,4819.99675,base_AU,7
425723.8005,4783748.51529,4534.37404,base_AU,7
426684.03896,4783433.69021,4247.16534,base_AU,7
427644.91784,4783119.83125,3991.0912,base_AU,7
428604.94674,4782804.69724,4024.43242,base_AU,7
429564.8576,4782490.52011,4305.73948,base_AU,7
430525.42262,4782176.19748,4437.18041,base_AU,7
431485.1244,4781861.71145,4453.00862,base_AU,7
432445.48025,4781547.07967,4846.95584,base_AU,7
433404.97291,4781232.28475,4912.79426,base_AU,7
434365.11954,4780917.34385,4766.31241,base_AU,7
435325.1494,4780603.35962,4825.58437,base_AU,7
436285.07496,4780289.22077,4855.19472,base_AU,7
437244.89622,4779974.92732,4980.38697,base_AU,7
