x y z
-500000.000000 341703.659042 2917.926957
-500000.000000 341703.659042 3810.774234
-500000.000000 341703.659042 4822.655752
-500000.000000 341703.659042 5953.571511
-500000.000000 341703.659042 7203.521511
-500000.000000 341703.659042 8572.505752
-500000.000000 341703.659042 10060.524234
-500000.000000 341703.659042 11667.576957
-500000.000000 341703.659042 13393.663921
-500000.000000 341703.659042 15238.785126
-500000.000000 341703.659042 17202.940572
-500000.000000 341703.659042 19286.130259
-500000.000000 341703.659042 21488.354186
-500000.000000 341703.659042 23809.612355
-500000.000000 365269.428631 60.562355
-500000.000000 365269.428631 239.204186
-500000.000000 365269.428631 536.880259
-500000.000000 365269.428631 953.590572
-500000.000000 365269.428631 1489.335126
-500000.000000 365269.428631 2144.113921
-500000.000000 365269.428631 2917.926957
-500000.000000 365269.428631 3810.774234
-500000.000000 365269.428631 4822.655752
-500000.000000 365269.428631 5953.571511
-500000.000000 365269.428631 7203.521511
-500000.000000 365269.428631 8572.505752
-500000.000000 365269.428631 10060.524234
-500000.000000 365269.428631 11667.576957
-500000.000000 365269.428631 13393.663921
-500000.000000 365269.428631 15238.785126
-500000.000000 365269.428631 17202.940572
-500000.000000 365269.428631 19286.130259
-500000.000000 365269.428631 21488.354186
-500000.000000 365269.428631 23809.612355
-500000.000000 388835.198220 60.562355
-500000.000000 388835.198220 239.204186
-500000.000000 388835.198220 536.880259
-500000.000000 388835.198220 953.590572
-500000.000000 388835.198220 1489.335126
-500000.000000 388835.198220 2144.113921
-500000.000000 388835.198220 2917.926957
-500000.000000 388835.198220 3810.774234
-500000.000000 388835.198220 4822.655752
-500000.000000 388835.198220 5953.571511
-500000.000000 388835.198220 7203.521511
-500000.000000 388835.198220 8572.505752
-500000.000000 388835.198220 10060.524234
-500000.000000 388835.198220 11667.576957
-500000.000000 388835.198220 13393.663921
-500000.000000 388835.198220 15238.785126
-500000.000000 388835.198220 17202.940572
-500000.000000 388835.198220 19286.130259
-500000.000000 388835.198220 21488.354186
-500000.000000 388835.198220 23809.612355
-500000.000000 412400.967809 60.562355
-500000.000000 412400.967809 239.204186
-500000.000000 412400.967809 536.880259
-500000.000000 412400.967809 953.590572
-500000.000000 412400.967809 1489.335126
-500000.000000 412400.967809 2144.113921
-500000.000000 412400.967809 2917.926957
-500000.000000 412400.967809 3810.774234
-500000.000000 412400.967809 4822.655752
-500000.000000 412400.967809 5953.571511
-500000.000000 412400.967809 7203.521511
-500000.000000 412400.967809 8572.505752
-500000.000000 412400.967809 10060.524234
-500000.000000 412400.967809 11667.576957
-500000.000000 412400.967809 13393.663921
-500000.000000 412400.967809 15238.785126
-500000.000000 412400.967809 17202.940572
-500000.000000 412400.967809 19286.130259
-500000.000000 412400.967809 21488.354186
-500000.000000 412400.967809 23809.612355
-500000.000000 924183.852603 60.562355
-500000.000000 924183.852603 239.204186
-500000.000000 924183.852603 536.880259
-500000.000000 924183.852603 953.590572
-500000.000000 924183.852603 1489.335126
-500000.000000 924183.852603 2144.113921
-500000.000000 924183.852603 2917.926957
-500000.000000 924183.852603 3810.774234
-500000.000000 924183.852603 4822.655752
-500000.000000 924183.852603 5953.571511
-500000.000000 924183.852603 7203.521511
-500000.000000 924183.852603 8572.505752
-500000.000000 924183.852603 10060.524234
-500000.000000 924183.852603 11667.576957
-500000.000000 924183.852603 13393.663921
-500000.000000 924183.852603 15238.785126
-500000.000000 924183.852603 17202.940572
-500000.000000 924183.852603 19286.130259
-500000.000000 924183.852603 21488.354186
-500000.000000 924183.852603 23809.612355
9522.545577 -500000.000000 60.562355
9522.545577 -500000.000000 239.204186
9522.545577 -500000.000000 536.880259
9522.545577 -500000.000000 953.590572
9522.545577 -500000.000000 1489.335126
9522.545577 -500000.000000 2144.113921
9522.545577 -500000.000000 2917.926957
9522.545577 -500000.000000 3810.774234
9522.545577 -500000.000000 4822.655752
9522.545577 -500000.000000 5953.571511
9522.545577 -500000.000000 7203.521511
9522.545577 -500000.000000 8572.505752
9522.545577 -500000.000000 10060.524234
9522.545577 -500000.000000 11667.576957
9522.545577 -500000.000000 13393.663921
9522.545577 -500000.000000 15238.785126
9522.545577 -500000.000000 17202.940572
9522.545577 -500000.000000 19286.130259
9522.545577 -500000.000000 21488.354186
